altura_cm,edad_anios,percentil,distancia_m,unidad,fuente
190,50,10,542,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,10,522,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,10,472,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,10,421,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,25,586,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,25,584,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,25,563,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,25,513,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,25,463,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,50,630,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,50,628,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,50,607,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,50,557,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,50,507,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,75,667,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,75,665,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,75,644,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,75,594,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,75,544,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,90,705,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,90,703,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,90,683,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,90,633,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,90,582,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,40,97.5,753,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,50,97.5,751,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,60,97.5,731,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,70,97.5,680,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
190,80,97.5,630,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
